id;Answer
0;Niels Børge Nielsen
1;1944
2;J. P. Jørgensen.
3;2006
4;Gyldendal
5;1970
6;Sprogø-broen
7;Poul Nyrup Rasmussen
8;115 m
9;2014
10;1983
11;Error
12;Morten Mortensen og Peter Bøgh
13;Den lille pige med lyserøde sko.
14;Søren Ryg og Kirsten Bredal.
15;Kærlighed
16;Svar: 2021
17;Kurt Ravn
18;Mads Lerdam
19;Acre (Akko)
20;Søren Kierkegaard
21;2019
22;Jørgen-Frantz Jacobsen
23;Et brev fra assessor Wilhelm til forfatter A
24;Det er pseudonymet for den danske forfatter Hans Skov.
25;1978
6;Error
27;Café de la Tour
28;Henning Carlsen.
29;Gammel Holte.
30;Hans Christian Andersen
11;Error
32;Carl Nielsen
33;2008
34;Aften.
35;2014
36;Kurt Ravn
37;Benny Andersen
38;Sofie Løf
39;Den lille mus
40;Lars M. Jensen
1;Error
42;1869
43;Svar: Den danske salmebog (2003)
44;427
45;1964
6;Error
47;Lasse Nielsen
48;Springfield
49;Bjarne Møller
50;Kjeld Petersen
11;Error
52;2005
53;Christian Frederik.
54;Kurt Foss
55;Lise Rønne
56;Mads Langer
57;Solitudevej
58;Mette Kjeldsen
59;2019
60;Benny Andersen
61;1978
62;Grethe og Jørgen Ingmann
63;Jørgen Ingmann
64;Dancevise
65;Ludwig van Beethoven
6;Error
67;3 satser
68;Per Nørgård
69;1969
70;1750
71;Nicolai Eigtved
72;Sankt Pauls Kirke
73;1749
74;Kong Frederik V.
75;1909
76;Giza, Egypten
77;Bronze.
78;I Reykjavík, Island, ved havnen.
79;en vogn trukket af heste
80;1971
81;Rasmus Nøkklev
82;Mads Langer
83;Liva Weel
84;1979
85;Sisse
86;Danse i Måneskin
87;Søren Sørensen
88;1972
89;Søren Møller
10;Error
11;Error
92;5 satser
93;Kulturministeriets musikkonkurrence
94;2016
95;Edvard Eriksen
96;Langelinie
97;1913
98;Kongen Christian X.
99;Hans Christian Andersen
100;I København, på Amager.
101;Borgerskolen
102;Østre Anlæg
103;Odense
104;Indre By.
5;Error
106;1839
7;Error
8;Error
109;Bjarne Henning‑Jensen
110;Kurt Østergaard
11;Error
12;Error
113;1940
14;Error
115;2001
116;Jørgen Ryg
117;Nyt dansk lyrisk lexikon
118;4 strofes.
119;4 linjer
120;Sommer
121;1902
122;Det er en sang.
123;2007
124;med sangkoder
5;Error
126;350 f.Kr.
127;Statens Museum for Kunst
128;1,69 m
129;Frederiksberg Have, København
130;1997
131;Morten Helge
132;Poul Schierbeck
133;I Lund, Sverige.
134;Et nyt år i skolen
135;Kevi
136;1972
137;Rasmussen
138;Det revolutionerende ved Kevihjulets design var brugen af letvægtsmateriale og en innovativ drejningsmekanisme, der øgede effektiviteten og levetiden.
139;Ingeniørprisen.
140;Kurt Nilsen
141;Johannes Børge
142;1993
143;Aase Clausen
144;1974
5;Error
146;1848
147;Åbningen af Københavns Jernbane i 1847.
148;Jernbanedamp
149;Kongens Nytorv.
150;Bodil Ipsen
151;Ole Lund Kirkegaard
152;Bjarne Møller
153;Sten & Stanley
154;Mads Lykke
155;Dagen er din
156;2023
157;Thomas Skov og Morten Rønnov
158;Den lille hest
159;25.000 eksemplarer
160;Ukendt
161;Kurt Nørgaard
162;1978
163;Før jeg går
164;Gnags
165;1976
166;Jørgen Hviid
7;Error
168;Kultur
169;Robert Frost
170;1685
171;Dyrehavsgården
172;Helligkilden.
173;1796–1798
174;Dyrehavets Jagt
175;Morten B.
176;Det Kongelige Teater
177;2009
178;Lars L. Møller
179;Kongelige Danske Kapel
180;2016
181;Peter Thiel
182;Lærke
183;1523
184;Kong Hans.
185;Dansk
186;Marie Gudme Leth blev født den 14. februar 1944.
187;Kunstakademiet i København.
188;Leths atelier.
189;Marie Gudme Leth døde den 6. april 2018.
190;1994
191;Henrik
192;Svend
193;Guitar
194;Lone Gade
195;Børsen
196;P. H. Hansen
197;Brumleby Brugsforening.
198;Beboerne i Brumleby i perioden 1872‑1877 var primært arbejderfamilier, særligt fiskere og håndværkere, samt andre lavindkomstgrupper fra indre København.
199;Det er et fiktivt sted fra den danske forfatter Karen Blixen, og navnet er et ordspil på “brumme” (at ryste) og “by”, altså “rattende by”.
0;Error
201;2003
202;Romantikken
203;Sverre Sigurdsson
204;Styrbjørn og de norske baroner.
5;Error
206;1879
207;Anna
208;4
209;Venedig
210;1997
211;Peter Juel-Jensen
212;Kurt Ravn
213;Titten
14;Error
15;Error
216;Kjeld Abell
217;10 strofer
218;København
219;Gyldendal
220;Gedsermøllen lå i Gedser på Langeland, Danmark.
221;1850
222;Jørgen Jensen
223;Mølle
224;2005
225;1803
6;Error
227;4 år
228;10 000 kg
9;Error
230;2003
231;Søren M. Jensen
232;Gyldendal
233;20 linjer.
234;4
235;Alle Går Rundt.
236;Anders Morgenthaler
237;Morten Krog
238;Lise Rønne
239;13 september 2018
240;Erik Balling
241;Ingrid Thulin
242;1965
243;Poul Reichhardt
244;Anna
245;Bodil Ipsen
246;Kurt
247;1941
248;Liva Weel
249;Lille‑Lise
250;P.S. Krøyer
251;1908
252;Statens Museum for Kunst i København.
253;Sortedamssøen
14;Error
255;Aarhus Rådhus.
256;Arkitekterne var arkitektfirmaet Madsen & Madsen.
257;2013
258;5
259;Søren Møller
0;Error
261;Knud Knudsen
262;1933
263;1993
264;Søren Gade
265;Jens Bjørneboe
6;Error
7;Error
268;1968
269;Søen
270;Gasolin' 6
271;Mads Bøggild
272;12 spor
13;Error
14;Error
275;1976
276;Thomas B. Olsen
277;Det Kongelige Bibliotek, Bodlamske Samling, København.
278;Anubis
279;4
280;25. juni 1879
281;Jørgen H. Nielsen.
282;35000 m²
283;Jørgen H. Jensen
284;Søren Olesen
285;ballade
286;Folkeviserne fungerede som et middel til at overføre historie, kultur og moral, samtidig med at de underholdt.
287;1930'erne
288;Mundtligt, gennem sang og fortælling.
289;Danmarks gamle Folkeviser
290;Søstre
11;Error
292;1971
293;Herman Bang
294;Oslo
295;2011
296;Thomas Helmig
17;Error
18;Error
299;3:30
300;2014
301;Miles Davis og David Rubinson
302;Blue Note
3;Error
304;Jazzpar-prisen
305;Søren Hvidt
306;Søren Mørk
307;Nikolaj Steen
308;2012
309;Lise Haagensen
310;Völuspá
311;17. århundrede
312;Herman Bang
313;Svar: Roskilde og Aalborg.
14;Error
315;1915
316;Ingen
317;Papir
318;4 satser
319;1 år
320;1968
321;Den danske møbeldesigner Verner Panton.
322;PVC
323;1960
324;Panton
325;Lars von Trier
326;Bønderne
327;2001
328;Lotte Nielsen
329;Robert Award
330;2019
331;Anne Linnet og Morten Mortensen
332;Sonet Records
333;12.000 eksemplarer
334;Thomas Helveg
335;1904
16;Error
337;Statens Museum for Kunst, København.
338;120 cm x 90 cm
339;København
340;1976
341;Jørgen Møller
342;30 personer
343;Julemandshæren
344;Et rensdyr
345;1575
346;2001
7;Error
348;Mette
349;Germand
10;Error
351;Ingen kendt komponist – det er en folkesang.
352;1618
353;Jens Vejmand, en dansk landmand.
354;Han er stadig i live.
355;12. december 1945
356;Jørgen Engelhardt
357;1993
358;
359;Det Kongelige Danske Akademi's Prisen
360;Forfatteren er Nikolaj Nørgaard.
361;1996
362;Gyldendal
363;2016
364;6
365;1992
366;Søren Hyldgaard
367;Jørgen Ryg
368;Mads Lippens
369;Pop
370;1972
371;Henrik Hertz
372;Jørgen Jensen
373;Hans Gram
374;G‑dur
375;cirka 1200
376;12 præster
377;Johannes Nielsen
378;Hoveråen
379;3 stemmer
380;1998
381;Bille August
382;Idioterne
383;Sidse Babett Knudsen
384;Allerede
385;1975
386;Karen Blixen
387;Sofie
388;1955
389;Johan M. H. Møller.
390;Syrinx er en tilstand, hvor der dannes en cystisk udvidelse i rygmarven.
391;Kommunikation
392;En subsang er en del af en sang.
393;Papegøjen.
394;Morgen, omkring 6–9.
395;Københavns Byplan 1947
396;Jørgen Winther
397;Fingerplanen er en plan for udvikling af fingerfærdigheder og -kompetencer.
398;6
399;1946
400;1976
401;Mette Andersen
2;Error
403;Praksis.
404;Kan du give digtet?
405;1864–1869
406;Johan Daniel Herholdt
407;Bodil Bang
408;1807
409;Kronprins Frederik af Danmark.
410;J. G. T. Jensen
411;1840
412;Christian Ulrik Thomsen
413;Den danske sangbog.
14;Error
415;Gunnar
416;2005
417;Lina
418;Svar: Mads
419;9 gange
420;Peter Schantz
421;2012
2;Error
423;Preben Kaas.
424;The Ed Sullivan Show.
425;Jørn Utzon
426;Concert Hall
427;1973
8;Error
429;Ove Arup
430;1962
431;Stalingrad 1943
432;Per Kirkeby
433;Det hænger på Nationalmuseet i København.
434;Pablo Picasso
435;1957
436;Bille August
437;Peter Simonsson
438;Ole Søltoft
439;Oscar for bedste udenlandske film
440;Bjarne Reuter
441;1974
442;Johannes Bødtger
443;1904
444;Morten Ravn
445;2015
446;Søren Møller
447;Gyldendal
448;Nordjylland.
449;Nikolaj S. Hansen
10;Error
11;Error
452;Morten Helveg Petersen
453;Den røde hund.
454;De blå drenge.
455;Lars Hørlykke
456;Thomas
457;1969
18;Error
459;Den røde hund
460;Per Mørk
461;1990
462;Gyldendal
463;Ja
464;4 strofer
465;Bjarne Rønne
466;1910
467;Ode
468;12 strofes.
469;4
470;Kurt Sørensen
471;Benny
472;Benny.
473;Lars Hjortshøj
474;2008
475;Den danske mand
16;Error
477;Sønder Skole.
478;Søren Gade
479;1977
480;The Savage Rose
481;Dennis Liss
482;Discovery Records
483;Morten Bøgh
484;Inga
485;Plankerne er lagret over hinanden og fastgjort med søm, skipslokk og krydder.
486;Langskib.
487;dragehval
488;Klankerbygning
489;Vikingeskibsmuseet i Roskilde
490;Johan Ludvig Heiberg
491;1835
492;J.P. Jensen
493;Peter S. Nielsen
494;Danmark, du land
495;1877
496;Den gamle
497;12 lineer.
498;Nej
499;Kærlighed
500;Supertanker er en type tankskib.
501;Very Large Crude Carrier
502;TI‑1
503;Panamensk
504;564 763 000 kg
505;Hans Høst
506;15. århundrede
507;Undløse Kirke har 6 loftshvælvinger, inddelt i nave, kølle, transept og to sidekapeller.
508;Jesus er vist som den opstandne Kristus, stående med armene løftet og omgivet af engle og en glorie af lys.
509;200.000 kr.
510;Johan B. Thomsen
511;1907
512;Jørgen Løvenskarl
513;Maja.
514;Jens
515;Heksedansen komponeret af Morten Friis.
516;1973
517;Copenhagen Records
518;Jørgen L. Møller
519;3:48
0;Error
521;Kim Larsen
522;Børge Madsen
523;C‑dur
524;2:12
525;1974
526;Bjørn.
527;Klassikernes Samling.
528;12
529;4 linjer per strofe.
530;1910
531;Johan Svendsen
532;Den Græske Datter.
533;Johan Peter Emilius Hartmann.
534;Nej
535;Hans Christian Andersen
536;1658-1685
537;Det Kongelige Bibliotek, København.
538;1972
539;Corfitz Ulfeldt
540;110 hektar
541;Kurt Nielsen
542;2011
543;Hans Christian Andersen
544;110 hektar.
545;1975
546;Hans Scherfig
547;4
548;Gyldendal
549;Den lille pige
550;1956
551;Jørgen Jensen
552;Hoved, hals, bryst, ryg, hofter, arme og ben.
553;Den runde form af et testcylinder.
554;Hvalens form.
555;Jens Peter Jacobsen
556;1872
17;Error
558;Kroen “Den Gule Hest”.
559;1685
560;Ludvig Holberg
561;Sønderfælled
562;Drama.
563;1731
564;Helle.
565;1978
566;Foam polymer chair
567;Polyfoam.
568;Museum of Modern Art (MoMA)
569;Peter Møller
570;1992
571;Kurt Tofte
12;Error
573;6 strofer
14;Error
575;1906
576;Lasse Møller
577;En hustrum, Mette, forsøger at finde mening i sit liv i en lille dansk by.
18;Error
579;1970
580;1791
581;Jørgen Peter Jacobsen
582;Royal Copenhagen Flora Danica porcelænsstel
583;52 år
4;Error
585;1998
6;Error
587;Peter Fröling, Mads Mikkelsen og Mette B. Jensen.
588;Hørsholm
589;Skolekammerater.
590;Søndag
591;Søren S. (tekst) og Poul J. (musik)
592;1983
593;Peter Belli
594;Smuk og dejlig
595;Kurt Andersen
596;1915
597;Telegrafgalop
18;Error
599;Ja
600;August von Kotzebue
601;1843
602;DR
603;Hugh O'Brian
604;1979
605;Kurt Nielsen
606;1837
607;Statens Museum for Kunst, København
608;Kunstner-serien
609;Lars August Ring
610;P. C. Skov
611;1906
612;På tredje etage i Colosseum, København.
13;Error
614;Christian August Lorentzen
615;1998
616;1940'erne og 1950'erne
617;DR
618;1999 og 2001
619;Jørn Christensen.
0;Error
621;1905
622;Brons
623;1,75 m
624;Statens Museum for Kunst, København
625;Johann Strauss I
626;Københavns Teater.
627;Champagnegalop blev komponeret til fejringen af Tivoli.
628;30 rigsdaler
9;Error
630;1987
631;Poul Schierbeck
632;Købmanden
633;Nørrebro
634;Nikolaj Bulganin
635;Poul Henningsen
636;2002
637;Anden Verdenskrig
18;Error
19;Error
640;1882
641;Peter S. Andersen
642;Morgensang
643;1884
644;Hans Christian Andersen
