id;Question
c70d140c-3320-49ba-8336-988b6e5a0941;Hvem skrev salmen De levendes Land?
f7e4294e-103a-421c-ad49-5de46f758ce1;I hvilket år blev De levendes Land skrevet?
5b2a92b2-aab7-4a15-9124-360859b99070;Hvem skrev melodien til De Levendes Land og Far, verden, far vel?
864e666a-e8da-4176-91f5-512460898193;I hvilket år blev De levendes Land udgivet posthumt?
33c3837a-fa2a-412e-855e-db39300344f4;Hvem udgav De levendes Land posthumt?
7ceb5bbb-e723-477a-b7d2-ddee11db034f;I hvilket år åbnede jernbaneforbindelsen over Storebælt?
d223c5d8-f64d-47e8-9e26-d60ac13d0846;Hvad er navnet på broen, der forbinder Sjælland og Sprogø?
1cec3111-62c0-4e8e-a410-16d18afa0a00;Hvem indviede vejforbindelsen over Storebælt i 1998?
689700d6-5ab7-4562-bc0f-ed4ebdc1a6ea;Hvad er højden på pylonerne, der bærer kablerne til hængebroen?
7b2fe245-685c-46d6-9857-7d549f3707ba;I hvilket år blev havvindmølleparken nord for Sprogø taget i brug?
fa2743de-ae80-4454-a87e-a19880986035;I hvilket år blev sangen Drømmeland indspillet?
8c49a4ec-50c5-40d2-87a4-1153b3b7f6f0;Hvem var komponisten bag sangen Drømmeland?
464b894d-b7b3-4346-8ce7-5667edf58915;Hvem var tekstforfatterne til sangen Drømmeland?
40f7ec14-b22f-41ae-8ff5-e627c2765800;I hvilken film var sangen Drømmeland af Aage Steffensen med?
a61a44e8-020f-41ac-929e-8009cd765db0;Hvem var de to sangere, der fremførte sangen Drømmeland i Apollorevyen 1937?
e6da6b9c-e458-4313-ac4b-dbdbea0e8778;Hvad er navnet på digtet fra 1896 skrevet af Sophus Claussen?
8c6d8333-49fe-4f7e-b825-de025314dc4a;I hvilket år blev digtet Ekbatana udgivet?
b1fc13ae-abf0-41bb-bfcd-b4d412741ecb;Hvad er navnet på den person, der har sat musik til digtet Ekbatana og indspillet det på albummet 50 danske viser og sange?
1803a75e-c6e4-4819-bd2d-9173ab3ac95c;Hvad er navnet på den kunstner, der har indsunget digtet Ekbatana på albummet Ekbátana?
208daa62-e2b1-4ff4-aa30-464dbe4dbbb5;Hvad er navnet på den oldtidsby, som digtet Ekbatana henviser til?
